,Movie,Year Released,IMDb,n_IMDb,Metascore,Votes
475, The China Syndrome,1979,7.4,74.0,81.0,33K
476, Manhattan,1979,7.8,78.0,83.0,148K
477, Love at First Bite,1979,6.1,61.0,62.0,6.4K
478, Meatballs,1979,6.2,62.0,60.0,24K
479, Escape from Alcatraz,1979,7.6,76.0,76.0,148K
480, Starting Over,1979,6.4,64.0,64.0,3.3K
481, The In-Laws,1979,7.3,73.0,69.0,10K
482, All That Jazz,1979,7.8,78.0,72.0,36K
483, 1941,1979,5.8,58.0,34.0,36K
484, The Champ,1979,6.8,68.0,38.0,9.3K
485, Being There,1979,7.9,79.0,83.0,78K
486, The Rose,1979,6.9,69.0,67.0,9.3K
487, Going in Style,1979,7.1,71.0,65.0,3.9K
488,Star Wars: Episode V - The Empire Strikes Back,1980,8.7,87.0,82.0,1.4M
489,Superman II,1980,6.8,68.0,83.0,115K
490,9 to 5,1980,6.9,69.0,58.0,40K
491,Stir Crazy,1980,6.7,67.0,56.0,30K
492,Airplane!,1980,7.7,77.0,78.0,262K
493,Any Which Way You Can,1980,6.1,61.0,51.0,21K
494,Private Benjamin,1980,6.2,62.0,59.0,29K
495,Coal Miner's Daughter,1980,7.5,75.0,84.0,21K
496,Smokey and the Bandit II,1980,5.3,53.0,41.0,18K
497, The Blue Lagoon,1980,5.8,58.0,31.0,77K
498, The Blues Brothers,1980,7.9,79.0,60.0,215K
499, Ordinary People,1980,7.7,77.0,86.0,57K
500, Urban Cowboy,1980,6.4,64.0,61.0,17K
501, Popeye,1980,5.4,54.0,64.0,35K
502, The Shining,1980,8.4,84.0,68.0,1.1M
503, Seems Like Old Times,1980,6.7,67.0,58.0,11K
504, Cheech and Chong's Next Movie,1980,6.0,60.0,66.0,15K
505, Caddyshack,1980,7.2,72.0,48.0,128K
506, Friday the 13th,1980,6.4,64.0,22.0,158K
507, Brubaker,1980,7.1,71.0,54.0,19K
508, Little Darlings,1980,6.5,65.0,45.0,6.6K
509, Dressed to Kill,1980,7.1,71.0,74.0,49K
510, The Gods Must Be Crazy,1980,7.3,73.0,73.0,60K
511, The Jazz Singer,1980,5.9,59.0,37.0,5K
512, Bronco Billy,1980,6.1,61.0,66.0,13K
513,Raiders of the Lost Ark,1981,8.4,84.0,86.0,1M
514,On Golden Pond,1981,7.6,76.0,68.0,35K
515,Porky's,1981,6.2,62.0,40.0,46K
516,Arthur,1981,6.9,69.0,69.0,31K
517,Stripes,1981,6.8,68.0,68.0,80K
518,The Cannonball Run,1981,6.2,62.0,28.0,40K
519,The Fox and the Hound,1981,7.2,72.0,65.0,102K
520,For Your Eyes Only,1981,6.7,67.0,54.0,109K
521,Chariots of Fire,1981,7.1,71.0,78.0,66K
522, The Four Seasons,1981,6.8,68.0,55.0,5.7K
523, Time Bandits,1981,6.9,69.0,79.0,69K
524, Clash of the Titans,1981,6.9,69.0,59.0,48K
525, Absence of Malice,1981,6.9,69.0,64.0,15K
526, Reds,1981,7.3,73.0,76.0,25K
527, Tarzan the Ape Man,1981,3.4,34.0,24.0,6.2K
528, Taps,1981,6.8,68.0,49.0,20K
529, Sharky's Machine,1981,6.3,63.0,58.0,6.8K
530, Excalibur,1981,7.3,73.0,56.0,67K
531, Nice Dreams,1981,6.1,61.0,54.0,8.2K
532, History of the World: Part I,1981,6.8,68.0,47.0,55K
533, Bustin' Loose,1981,6.0,60.0,55.0,3.7K
534, The Great Muppet Caper,1981,7.1,71.0,70.0,17K
535, Endless Love,1981,4.9,49.0,30.0,9.6K
536, An American Werewolf in London,1981,7.5,75.0,55.0,121K
537, Neighbors,1981,5.5,55.0,47.0,8.6K
538,E.T. the Extra-Terrestrial,1982,7.9,79.0,92.0,439K
539,Tootsie,1982,7.4,74.0,88.0,115K
540,An Officer and a Gentleman,1982,7.1,71.0,75.0,63K
541,Rocky III,1982,6.8,68.0,57.0,212K
542,Star Trek II: The Wrath of Khan,1982,7.7,77.0,68.0,130K
543,48 Hrs.,1982,6.9,69.0,71.0,86K
544,Poltergeist,1982,7.3,73.0,79.0,180K
545,The Best Little Whorehouse in Texas,1982,6.1,61.0,40.0,13K
546,Annie,1982,6.6,66.0,39.0,50K
547, The Verdict,1982,7.7,77.0,77.0,46K
548, Gandhi,1982,8.0,80.0,79.0,241K
549, First Blood,1982,7.7,77.0,61.0,277K
550, The Toy,1982,5.8,58.0,16.0,15K
551, Firefox,1982,5.9,59.0,44.0,29K
552, The Dark Crystal,1982,7.1,71.0,66.0,72K
553, Conan the Barbarian,1982,6.9,69.0,43.0,163K
554, The Sword and the Sorcerer,1982,5.5,55.0,39.0,7.6K
555, Best Friends,1982,5.5,55.0,70.0,3.2K
556, Friday the 13th: Part 3,1982,5.6,56.0,30.0,61K
557, Tron,1982,6.7,67.0,58.0,130K
558, Blade Runner,1982,8.1,81.0,84.0,825K
559, Sophie's Choice,1982,7.5,75.0,68.0,53K
560, The World According to Garp,1982,7.1,71.0,63.0,29K
561,Star Wars: Episode VI - Return of the Jedi,1983,8.3,83.0,58.0,1.1M
562,Terms of Endearment,1983,7.4,74.0,79.0,66K
563,Flashdance,1983,6.2,62.0,39.0,60K
564,Trading Places,1983,7.5,75.0,69.0,167K
565,WarGames,1983,7.1,71.0,77.0,111K
566,Octopussy,1983,6.5,65.0,63.0,113K
567,Sudden Impact,1983,6.6,66.0,52.0,49K
568,Staying Alive,1983,4.8,48.0,24.0,18K
569,Mr. Mom,1983,6.6,66.0,50.0,28K
570, Risky Business,1983,6.8,68.0,75.0,100K
571, Splash,1983,6.3,63.0,71.0,84K
572, Vacation,1983,7.3,73.0,55.0,120K
573, Superman III,1983,5.0,50.0,44.0,75K
574, The Big Chill,1983,7.1,71.0,61.0,42K
575, Never Say Never Again,1983,6.1,61.0,68.0,73K
576, Scarface,1983,8.3,83.0,65.0,920K
577, Jaws 3-D,1983,3.7,37.0,27.0,48K
578, Blue Thunder,1983,6.4,64.0,66.0,23K
579, Yentl,1983,6.6,66.0,68.0,16K
580, Silkwood,1983,7.1,71.0,64.0,22K
581, Psycho II,1983,6.6,66.0,54.0,31K
582, Porky's II: The Next Day,1983,5.0,50.0,38.0,13K
583, Uncommon Valor,1983,6.3,63.0,38.0,12K
584, Twilight Zone: The Movie,1983,6.4,64.0,44.0,41K
585,Ghostbusters,1984,7.8,78.0,71.0,453K
586,Beverly Hills Cop,1984,7.4,74.0,66.0,205K
587,Indiana Jones and the Temple of Doom,1984,7.5,75.0,57.0,537K
588,Gremlins,1984,7.3,73.0,70.0,249K
589,The Karate Kid,1984,7.3,73.0,60.0,245K
590,Police Academy,1984,6.7,67.0,41.0,138K
591,Footloose,1984,6.6,66.0,42.0,93K
592,Romancing the Stone,1984,6.9,69.0,63.0,104K
593,Star Trek III: The Search for Spock,1984,6.6,66.0,56.0,86K
594, Purple Rain,1984,6.5,65.0,55.0,24K
595, Amadeus,1984,8.4,84.0,87.0,430K
596, Tightrope,1984,6.3,63.0,61.0,19K
597, The Natural,1984,7.4,74.0,61.0,53K
598," Greystoke: The Legend of Tarzan, Lord of the Apes",1984,6.4,64.0,62.0,21K
599, Revenge of the Nerds,1984,6.6,66.0,44.0,59K
600, 2010,1984,6.7,67.0,53.0,57K
601, Breakin',1984,5.8,58.0,53.0,7.3K
602, Bachelor Party,1984,6.3,63.0,56.0,43K
603, The Terminator,1984,8.1,81.0,84.0,928K
604, Red Dawn,1984,6.3,63.0,53.0,63K
605, City Heat,1984,5.5,55.0,39.0,11K
606, All of Me,1984,6.7,67.0,68.0,20K
607, Ghoulies,1984,4.2,42.0,26.0,10K
608, Places in the Heart,1984,7.4,74.0,70.0,14K
609,Back to the Future,1985,8.5,85.0,87.0,1.3M
610,Rambo: First Blood Part II,1985,6.5,65.0,47.0,183K
611,Rocky IV,1985,6.9,69.0,40.0,227K
612,The Color Purple,1985,7.7,77.0,78.0,98K
613,Out of Africa,1985,7.1,71.0,69.0,87K
614,Cocoon,1985,6.7,67.0,65.0,69K
615,The Jewel of the Nile,1985,6.1,61.0,53.0,63K
616,Witness,1985,7.4,74.0,76.0,105K
617,The Goonies,1985,7.7,77.0,62.0,299K
618, Spies Like Us,1985,6.4,64.0,22.0,53K
619, Police Academy 2: Their First Assignment,1985,5.8,58.0,39.0,59K
620, Fletch,1985,6.9,69.0,68.0,58K
621, A View to a Kill,1985,6.3,63.0,40.0,105K
622, National Lampoon's European Vacation,1985,6.2,62.0,47.0,72K
623, Mask,1985,7.2,72.0,73.0,33K
624, The Breakfast Club,1985,7.8,78.0,66.0,438K
625, White Nights,1985,6.6,66.0,46.0,8.3K
626, Pale Rider,1985,7.3,73.0,61.0,65K
627, Pee-wee's Big Adventure,1985,7.0,70.0,47.0,59K
628, Jagged Edge,1985,6.5,65.0,60.0,17K
629, Brewster's Millions,1985,6.5,65.0,37.0,43K
630, St. Elmo's Fire,1985,6.4,64.0,35.0,47K
631, Mad Max Beyond Thunderdome,1985,6.2,62.0,71.0,150K
632, Commando,1985,6.7,67.0,51.0,176K
633, Silverado,1985,7.2,72.0,64.0,50K
634,Top Gun,1986,6.9,69.0,50.0,505K
635,Crocodile Dundee,1986,6.6,66.0,62.0,116K
636,Platoon,1986,8.1,81.0,92.0,441K
637,The Karate Kid Part II,1986,6.1,61.0,55.0,99K
638,Star Trek IV: The Voyage Home,1986,7.3,73.0,71.0,92K
639,Back to School,1986,6.7,67.0,68.0,36K
640,Aliens,1986,8.4,84.0,84.0,766K
641,The Golden Child,1986,6.0,60.0,37.0,60K
642,Ruthless People,1986,6.9,69.0,78.0,31K
643, Ferris Bueller's Day Off,1986,7.8,78.0,61.0,388K
644, Down and Out in Beverly Hills,1986,6.2,62.0,72.0,20K
645, The Color of Money,1986,7.0,70.0,77.0,94K
646, Stand by Me,1986,8.1,81.0,75.0,443K
647, Legal Eagles,1986,6.0,60.0,57.0,12K
648, Cobra,1986,5.8,58.0,25.0,80K
649, An American Tail,1986,6.9,69.0,38.0,58K
650, Police Academy 3: Back in Training,1986,5.4,54.0,33.0,49K
651, Heartbreak Ridge,1986,6.8,68.0,53.0,48K
652, Peggy Sue Got Married,1986,6.4,64.0,75.0,41K
653, Poltergeist II: The Other Side,1986,5.7,57.0,49.0,30K
654, Short Circuit,1986,6.6,66.0,50.0,67K
655, Pretty in Pink,1986,6.7,67.0,56.0,89K
656, The Fly,1986,7.6,76.0,81.0,203K
657, Hannah and Her Sisters,1986,7.8,78.0,90.0,77K
658, Three Amigos!,1986,6.5,65.0,52.0,84K
659,Three Men and a Baby,1987,6.1,61.0,61.0,58K
660,Fatal Attraction,1987,6.9,69.0,67.0,98K
661,Beverly Hills Cop II,1987,6.5,65.0,48.0,131K
662,"Good Morning, Vietnam",1987,7.3,73.0,67.0,155K
663,Moonstruck,1987,7.2,72.0,83.0,69K
664,The Untouchables,1987,7.8,78.0,79.0,332K
665,The Secret of My Success,1987,6.5,65.0,36.0,37K
666,Stakeout,1987,6.7,67.0,69.0,29K
667,Lethal Weapon,1987,7.6,76.0,68.0,277K
668, The Witches of Eastwick,1987,6.5,65.0,67.0,78K
669, Predator,1987,7.8,78.0,47.0,457K
670, Throw Momma from the Train,1987,6.3,63.0,56.0,41K
671, Dragnet,1987,6.0,60.0,62.0,38K
672, La Bamba,1987,6.9,69.0,65.0,37K
673, RoboCop,1987,7.6,76.0,70.0,284K
674, Outrageous Fortune,1987,6.2,62.0,55.0,8.7K
675, Broadcast News,1987,7.3,73.0,84.0,34K
676, The Living Daylights,1987,6.7,67.0,59.0,106K
677, Eddie Murphy: Raw,1987,7.6,76.0,54.0,21K
678," Planes, Trains & Automobiles",1987,7.6,76.0,72.0,161K
679, Full Metal Jacket,1987,8.3,83.0,78.0,793K
680, A Nightmare on Elm Street 3: Dream Warriors,1987,6.6,66.0,49.0,91K
681, The Last Emperor,1987,7.7,77.0,76.0,112K
682, Wall Street,1987,7.3,73.0,56.0,166K
683, Mannequin,1987,6.0,60.0,21.0,36K
684,Rain Man,1988,8.0,80.0,65.0,548K
685,Who Framed Roger Rabbit,1988,7.7,77.0,83.0,218K
686,Coming to America,1988,7.1,71.0,47.0,224K
687,Big,1988,7.3,73.0,73.0,241K
688,Twins,1988,6.2,62.0,50.0,138K
689,Crocodile Dundee II,1988,5.7,57.0,41.0,61K
690,Die Hard,1988,8.2,82.0,72.0,949K
691,The Naked Gun: From the Files of Police Squad!,1988,7.6,76.0,76.0,186K
692,Cocktail,1988,5.9,59.0,12.0,92K
693, Oliver & Company,1988,6.6,66.0,58.0,53K
694, Beetlejuice,1988,7.5,75.0,71.0,342K
695, Working Girl,1988,6.8,68.0,73.0,63K
696, A Fish Called Wanda,1988,7.5,75.0,80.0,154K
697, Scrooged,1988,6.9,69.0,38.0,117K
698, Willow,1988,7.2,72.0,47.0,130K
699, Beaches,1988,7.0,70.0,46.0,29K
700, Rambo III,1988,5.8,58.0,36.0,141K
701, Bull Durham,1988,7.0,70.0,73.0,60K
702, A Nightmare on Elm Street 4: The Dream Master,1988,5.6,56.0,56.0,62K
703, The Land Before Time,1988,7.4,74.0,66.0,99K
704, Colors,1988,6.7,67.0,66.0,30K
705, Young Guns,1988,6.8,68.0,50.0,68K
706, Biloxi Blues,1988,6.6,66.0,61.0,17K
707, Dirty Rotten Scoundrels,1988,7.4,74.0,68.0,78K
708, The Great Outdoors,1988,6.6,66.0,24.0,52K
709,Batman,1989,7.5,75.0,69.0,405K
710,Indiana Jones and the Last Crusade,1989,8.2,82.0,65.0,814K
711,Lethal Weapon 2,1989,7.3,73.0,70.0,189K
712,Look Who's Talking,1989,5.9,59.0,51.0,87K
713,"Honey, I Shrunk the Kids",1989,6.4,64.0,63.0,167K
714,Back to the Future Part II,1989,7.8,78.0,57.0,575K
715,Ghostbusters II,1989,6.6,66.0,56.0,226K
716,The Little Mermaid,1989,7.6,76.0,88.0,292K
717,Driving Miss Daisy,1989,7.3,73.0,81.0,118K
718, Parenthood,1989,7.1,71.0,82.0,55K
719, Dead Poets Society,1989,8.1,81.0,79.0,549K
720, When Harry Met Sally...,1989,7.7,77.0,76.0,244K
721, The War of the Roses,1989,6.8,68.0,80.0,58K
722, Steel Magnolias,1989,7.3,73.0,56.0,63K
723, National Lampoon's Christmas Vacation,1989,7.5,75.0,49.0,221K
724, Turner & Hooch,1989,6.2,62.0,36.0,77K
725, Born on the Fourth of July,1989,7.2,72.0,75.0,116K
726, Uncle Buck,1989,7.1,71.0,51.0,108K
727, Field of Dreams,1989,7.5,75.0,57.0,129K
728, Tango & Cash,1989,6.4,64.0,41.0,114K
729, Harlem Nights,1989,6.1,61.0,16.0,25K
730, Sea of Love,1989,6.8,68.0,66.0,45K
731, Pet Sematary,1989,6.5,65.0,38.0,115K
732, The Abyss,1989,7.5,75.0,62.0,194K
733, Star Trek V: The Final Frontier,1989,5.5,55.0,43.0,64K
734,Home Alone,1990,7.7,77.0,63.0,655K
735,Ghost,1990,7.1,71.0,52.0,237K
736,Dances with Wolves,1990,8.0,80.0,72.0,292K
737,Pretty Woman,1990,7.1,71.0,51.0,365K
738,Teenage Mutant Ninja Turtles,1990,6.8,68.0,51.0,105K
739,The Hunt for Red October,1990,7.5,75.0,58.0,215K
740,Total Recall,1990,7.5,75.0,60.0,356K
741,Die Hard 2,1990,7.1,71.0,67.0,384K
742,Dick Tracy,1990,6.2,62.0,68.0,66K
743, Kindergarten Cop,1990,6.2,62.0,61.0,163K
744, Back to the Future Part III,1990,7.4,74.0,55.0,483K
745, Presumed Innocent,1990,6.9,69.0,72.0,46K
746, Days of Thunder,1990,6.1,61.0,60.0,97K
747, Another 48 Hrs.,1990,5.9,59.0,23.0,45K
748, Three Men and a Little Lady,1990,5.5,55.0,51.0,27K
749, Bird on a Wire,1990,6.0,60.0,36.0,48K
750, The Godfather Part III,1990,7.6,76.0,60.0,425K
751, Flatliners,1990,6.5,65.0,55.0,94K
752, Misery,1990,7.8,78.0,75.0,237K
753, Edward Scissorhands,1990,7.9,79.0,74.0,526K
754, Problem Child,1990,5.5,55.0,27.0,33K
755, Arachnophobia,1990,6.5,65.0,67.0,76K
756, Awakenings,1990,7.8,78.0,74.0,159K
757, Hard to Kill,1990,5.8,58.0,41.0,32K
758,Beauty and the Beast,1991,8.0,80.0,95.0,481K
759,Terminator 2: Judgment Day,1991,8.6,86.0,75.0,1.2M
760,Robin Hood: Prince of Thieves,1991,6.9,69.0,51.0,209K
761,The Silence of the Lambs,1991,8.6,86.0,86.0,1.6M
762,City Slickers,1991,6.8,68.0,70.0,63K
763,Hook,1991,6.8,68.0,52.0,274K
764,The Addams Family,1991,6.9,69.0,57.0,181K
765,Sleeping with the Enemy,1991,6.3,63.0,48.0,65K
766,Father of the Bride,1991,6.6,66.0,51.0,85K
767, The Naked Gun 2½: The Smell of Fear,1991,6.9,69.0,65.0,123K
768, Fried Green Tomatoes,1991,7.7,77.0,64.0,84K
769, Cape Fear,1991,7.3,73.0,73.0,218K
770, Teenage Mutant Ninja Turtles II: The Secret of the Ooze,1991,6.0,60.0,45.0,61K
771, Backdraft,1991,6.7,67.0,39.0,88K
772, Star Trek VI: The Undiscovered Country,1991,7.2,72.0,65.0,81K
773, The Prince of Tides,1991,6.8,68.0,65.0,20K
774, JFK,1991,8.0,80.0,72.0,170K
775, Hot Shots!,1991,6.7,67.0,61.0,117K
776, What About Bob?,1991,7.0,70.0,60.0,75K
777, My Girl,1991,6.9,69.0,56.0,89K
778, The Last Boy Scout,1991,7.0,70.0,52.0,112K
779, Boyz n the Hood,1991,7.8,78.0,76.0,156K
780, Doc Hollywood,1991,6.3,63.0,56.0,40K
781, Bugsy,1991,6.8,68.0,80.0,31K
782, New Jack City,1991,6.6,66.0,61.0,39K
783,Aladdin,1992,8.0,80.0,86.0,469K
784,Home Alone 2: Lost in New York,1992,6.9,69.0,46.0,404K
785,Batman Returns,1992,7.1,71.0,68.0,329K
786,Lethal Weapon 3,1992,6.7,67.0,40.0,179K
787,A Few Good Men,1992,7.7,77.0,62.0,289K
788,Sister Act,1992,6.5,65.0,51.0,109K
789,The Bodyguard,1992,6.4,64.0,39.0,148K
790,Wayne's World,1992,7.0,70.0,57.0,171K
791,Basic Instinct,1992,7.1,71.0,43.0,220K
792, A League of Their Own,1992,7.3,73.0,69.0,122K
793, Unforgiven,1992,8.2,82.0,85.0,437K
794, The Hand That Rocks the Cradle,1992,6.7,67.0,64.0,49K
795, Under Siege,1992,6.5,65.0,58.0,96K
796, Patriot Games,1992,6.8,68.0,64.0,121K
797, Bram Stoker's Dracula,1992,7.4,74.0,57.0,240K
798, White Men Can't Jump,1992,6.8,68.0,65.0,99K
799, The Last of the Mohicans,1992,7.7,77.0,76.0,189K
800, Boomerang,1992,5.6,56.0,45.0,31K
801, Scent of a Woman,1992,8.0,80.0,57.0,331K
802, The Crying Game,1992,7.2,72.0,90.0,60K
803, Far and Away,1992,6.6,66.0,49.0,68K
804," Honey, I Blew Up the Kid",1992,4.9,49.0,50.0,47K
805, HouseSitter,1992,6.2,62.0,52.0,27K
806, Death Becomes Her,1992,6.6,66.0,56.0,132K
807, Unlawful Entry,1992,6.4,64.0,61.0,19K
808,Jurassic Park,1993,8.2,82.0,68.0,1.1M
809,Mrs. Doubtfire,1993,7.1,71.0,54.0,292K
810,The Fugitive,1993,7.8,78.0,87.0,320K
811,The Firm,1993,6.9,69.0,58.0,148K
812,Sleepless in Seattle,1993,6.8,68.0,72.0,191K
813,Indecent Proposal,1993,6.0,60.0,45.0,78K
814,In the Line of Fire,1993,7.2,72.0,74.0,114K
815,The Pelican Brief,1993,6.6,66.0,51.0,96K
816,Schindler's List,1993,9.0,90.0,95.0,1.5M
817, Cliffhanger,1993,6.5,65.0,59.0,140K
818, Free Willy,1993,6.0,60.0,79.0,83K
819, Philadelphia,1993,7.7,77.0,66.0,259K
820, The Nightmare Before Christmas,1993,7.9,79.0,82.0,376K
821, Groundhog Day,1993,8.0,80.0,72.0,687K
822, Grumpy Old Men,1993,7.0,70.0,53.0,54K
823, Cool Runnings,1993,7.0,70.0,60.0,114K
824, Dave,1993,6.9,69.0,76.0,57K
825, Rising Sun,1993,6.2,62.0,56.0,48K
826, Demolition Man,1993,6.7,67.0,34.0,194K
827, Sister Act 2: Back in the Habit,1993,5.7,57.0,38.0,59K
828, Tombstone,1993,7.8,78.0,50.0,167K
829, The Three Musketeers,1993,6.4,64.0,43.0,60K
830, Rookie of the Year,1993,6.1,61.0,53.0,31K
831, Dennis the Menace,1993,5.7,57.0,49.0,65K
832,The Lion King,1994,8.5,85.0,88.0,1.1M
833,Forrest Gump,1994,8.8,88.0,82.0,2.3M
834,True Lies,1994,7.3,73.0,63.0,282K
835,The Santa Clause,1994,6.6,66.0,57.0,134K
836,The Flintstones,1994,5.0,50.0,38.0,87K
837,Dumb and Dumber,1994,7.3,73.0,41.0,414K
838,Clear and Present Danger,1994,6.9,69.0,72.0,108K
839,Speed,1994,7.3,73.0,78.0,393K
840,The Mask,1994,6.9,69.0,59.0,423K
841, Pulp Fiction,1994,8.9,89.0,95.0,2.2M
842, Interview with the Vampire: The Vampire Chronicles,1994,7.5,75.0,62.0,349K
843, Maverick,1994,7.0,70.0,62.0,119K
844, The Client,1994,6.7,67.0,65.0,74K
845, Disclosure,1994,6.2,62.0,58.0,55K
846, Star Trek: Generations,1994,6.6,66.0,55.0,87K
847, Ace Ventura: Pet Detective,1994,6.9,69.0,37.0,326K
848, Stargate,1994,7.0,70.0,42.0,206K
849, Legends of the Fall,1994,7.5,75.0,45.0,184K
850, Four Weddings and a Funeral,1994,7.1,71.0,81.0,167K
851, The Little Rascals,1994,6.3,63.0,45.0,56K
852, Naked Gun 33 1/3: The Final Insult,1994,6.5,65.0,63.0,112K
853, The Crow,1994,7.5,75.0,71.0,205K
854, Natural Born Killers,1994,7.2,72.0,74.0,253K
855,Toy Story,1995,8.3,83.0,96.0,1.1M
856,Batman Forever,1995,5.4,54.0,54.0,267K
857,Apollo 13,1995,7.7,77.0,78.0,317K
858,Pocahontas,1995,6.7,67.0,59.0,204K
859,Ace Ventura: When Nature Calls,1995,6.4,64.0,43.0,234K
860,GoldenEye,1995,7.2,72.0,65.0,271K
861,Jumanji,1995,7.1,71.0,39.0,379K
862,Casper,1995,6.2,62.0,49.0,147K
863,Se7en,1995,8.6,86.0,65.0,1.8M
864, Die Hard with a Vengeance,1995,7.6,76.0,58.0,409K
865, Crimson Tide,1995,7.3,73.0,66.0,124K
866, Waterworld,1995,6.3,63.0,56.0,211K
867, Dangerous Minds,1995,6.5,65.0,46.0,57K
868, Mr. Holland's Opus,1995,7.3,73.0,59.0,42K
869, While You Were Sleeping,1995,6.8,68.0,67.0,114K
870, Congo,1995,5.3,53.0,24.0,49K
871, Father of the Bride Part II,1995,6.1,61.0,49.0,42K
872, Braveheart,1995,8.3,83.0,68.0,1.1M
873, Get Shorty,1995,6.9,69.0,81.0,89K
874, Grumpier Old Men,1995,6.6,66.0,46.0,30K
875, The Bridges of Madison County,1995,7.6,76.0,69.0,89K
876, Mortal Kombat,1995,5.8,58.0,60.0,125K
877, Nine Months,1995,5.5,55.0,47.0,39K
878, Outbreak,1995,6.6,66.0,64.0,138K
879, Heat,1995,8.3,83.0,76.0,722K
880,Independence Day,1996,7.0,70.0,59.0,607K
881,Twister,1996,6.5,65.0,68.0,216K
882,Mission: Impossible,1996,7.2,72.0,59.0,472K
883,Jerry Maguire,1996,7.3,73.0,77.0,288K
884,Ransom,1996,6.7,67.0,61.0,136K
885,101 Dalmatians,1996,5.7,57.0,50.0,118K
886,The Rock,1996,7.4,74.0,58.0,359K
887,The Nutty Professor,1996,5.7,57.0,64.0,124K
888,The Birdcage,1996,7.2,72.0,71.0,101K
889, A Time to Kill,1996,7.5,75.0,53.0,182K
890, The First Wives Club,1996,6.4,64.0,59.0,54K
891, Phenomenon,1996,6.4,64.0,42.0,84K
892, Scream,1996,7.4,74.0,66.0,390K
893, Eraser,1996,6.2,62.0,56.0,119K
894, The Hunchback of Notre Dame,1996,7.0,70.0,74.0,172K
895, Michael,1996,5.7,57.0,38.0,45K
896, Star Trek: First Contact,1996,7.6,76.0,70.0,132K
897, Space Jam,1996,6.5,65.0,57.0,214K
898, The English Patient,1996,7.4,74.0,86.0,202K
899, Broken Arrow,1996,6.1,61.0,61.0,106K
900, Beavis and Butt-Head Do America,1996,6.8,68.0,64.0,61K
901, Jingle All the Way,1996,5.7,57.0,34.0,116K
902, The Cable Guy,1996,6.1,61.0,56.0,179K
903, Courage Under Fire,1996,6.6,66.0,77.0,60K
904, Jack,1996,5.8,58.0,31.0,64K
905,Titanic,1997,7.9,79.0,75.0,1.3M
906,Men in Black,1997,7.3,73.0,72.0,615K
907,The Lost World: Jurassic Park,1997,6.5,65.0,59.0,446K
908,Liar Liar,1997,6.9,69.0,70.0,335K
909,Air Force One,1997,6.5,65.0,62.0,211K
910,As Good as It Gets,1997,7.7,77.0,67.0,319K
911,Good Will Hunting,1997,8.3,83.0,71.0,1.1M
912,My Best Friend's Wedding,1997,6.3,63.0,51.0,156K
913,Tomorrow Never Dies,1997,6.5,65.0,52.0,205K
914, Face/Off,1997,7.3,73.0,82.0,402K
915, Batman & Robin,1997,3.8,38.0,29.0,269K
916, George of the Jungle,1997,5.5,55.0,53.0,85K
917, Scream 2,1997,6.3,63.0,62.0,210K
918, Con Air,1997,6.9,69.0,52.0,320K
919, Contact,1997,7.5,75.0,62.0,294K
920, Hercules,1997,7.3,73.0,74.0,256K
921, Flubber,1997,5.3,53.0,38.0,95K
922, Conspiracy Theory,1997,6.7,67.0,50.0,108K
923, I Know What You Did Last Summer,1997,5.8,58.0,52.0,159K
924, Dante's Peak,1997,6.0,60.0,43.0,99K
925, Anaconda,1997,4.9,49.0,37.0,112K
926, L.A. Confidential,1997,8.2,82.0,91.0,620K
927, In & Out,1997,6.4,64.0,70.0,44K
928, The Fifth Element,1997,7.6,76.0,52.0,509K
929, Mousehunt,1997,6.5,65.0,53.0,61K
930,Saving Private Ryan,1998,8.6,86.0,91.0,1.5M
931,Armageddon,1998,6.7,67.0,42.0,452K
932,There's Something About Mary,1998,7.1,71.0,69.0,330K
933,A Bug's Life,1998,7.2,72.0,78.0,316K
934,The Waterboy,1998,6.1,61.0,41.0,179K
935,Doctor Dolittle,1998,5.4,54.0,46.0,102K
936,Rush Hour,1998,7.0,70.0,61.0,296K
937,Deep Impact,1998,6.2,62.0,40.0,191K
938,Godzilla,1998,5.4,54.0,32.0,204K
939, Patch Adams,1998,6.8,68.0,26.0,123K
940, Lethal Weapon 4,1998,6.6,66.0,39.0,173K
941, The Truman Show,1998,8.2,82.0,90.0,1.2M
942, Mulan,1998,7.7,77.0,72.0,318K
943, You've Got Mail,1998,6.7,67.0,58.0,230K
944, Enemy of the State,1998,7.3,73.0,67.0,260K
945, The Prince of Egypt,1998,7.2,72.0,64.0,147K
946, The Rugrats Movie,1998,5.9,59.0,62.0,21K
947, Shakespeare in Love,1998,7.1,71.0,87.0,235K
948, The Mask of Zorro,1998,6.8,68.0,62.0,198K
949, Stepmom,1998,6.8,68.0,58.0,75K
950, Antz,1998,6.5,65.0,73.0,164K
951, Pokémon: The First Movie - Mewtwo Strikes Back,1998,6.3,63.0,35.0,46K
952, The X Files,1998,7.0,70.0,60.0,110K
953, The Wedding Singer,1998,6.9,69.0,60.0,163K
954, City of Angels,1998,6.7,67.0,54.0,128K
955,Star Wars: Episode I - The Phantom Menace,1999,6.5,65.0,51.0,862K
956,The Sixth Sense,1999,8.2,82.0,64.0,1.1M
957,Toy Story 2,1999,7.9,79.0,88.0,622K
958,Austin Powers: The Spy Who Shagged Me,1999,6.7,67.0,59.0,250K
959,The Matrix,1999,8.7,87.0,73.0,2.1M
960,Tarzan,1999,7.3,73.0,80.0,248K
